USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
CO|0838370|1600000US0838370|02410092|Idaho Springs city|25|A|6413490|106976|2.476|0.041|39.749349|-105.503759
CO|0838425|1600000US0838425|02583249|Idalia CDP|57|S|236694|0|0.091|0.|39.703|-102.293978
CO|0838480|1600000US0838480|02583250|Idledale CDP|57|S|717368|0|0.277|0.|39.668928|-105.243191
CO|0838535|1600000US0838535|02412787|Ignacio town|43|A|1325432|0|0.512|0.|37.118004|-107.637557
CO|0838590|1600000US0838590|02412788|Iliff town|43|A|494731|0|0.191|0.|40.759177|-103.066102
CO|0838810|1600000US0838810|02408420|Indian Hills CDP|57|S|14050627|8837|5.425|0.003|39.629881|-105.247461
CO|0838910|1600000US0838910|02629990|Inverness CDP|57|S|2925458|0|1.13|0.|39.575772|-104.865395
CO|0839160|1600000US0839160|02583251|Jackson Lake CDP|57|S|7924385|0|3.06|0.|40.370055|-104.059173
CO|0839195|1600000US0839195|02412800|Jamestown town|43|A|1486875|1124|0.574|0.|40.123001|-105.393143
CO|0839250|1600000US0839250|02583252|Jansen CDP|57|S|3041290|0|1.174|0.|37.158163|-104.55009
CO|0839745|1600000US0839745|02583253|Joes CDP|57|S|1929854|3931|0.745|0.002|39.659569|-102.678471
CO|0839800|1600000US0839800|02583254|Johnson Village CDP|57|S|774036|0|0.299|0.|38.811894|-106.107112
CO|0839855|1600000US0839855|02412807|Johnstown town|43|A|40355497|222991|15.581|0.086|40.307248|-104.911205
CO|0839965|1600000US0839965|02412812|Julesburg town|43|A|3916489|0|1.512|0.|40.984864|-102.262708
CO|0840185|1600000US0840185|02412820|Keenesburg town|43|A|24223413|66713|9.353|0.026|40.155173|-104.56342
CO|0840377|1600000US0840377|02408469|Ken Caryl CDP|57|S|25466701|79085|9.833|0.031|39.576743|-105.113695
CO|0840515|1600000US0840515|02412828|Kersey town|43|A|6125964|16088|2.365|0.006|40.395585|-104.578334
CO|0840550|1600000US0840550|02832513|Keystone town|43|A|4729245|25398|1.826|0.01|39.607093|-105.931987
CO|0840570|1600000US0840570|02412834|Kim town|43|A|980927|0|0.379|0.|37.247062|-103.353411
CO|0840790|1600000US0840790|02412838|Kiowa town|43|A|2224310|0|0.859|0.|39.34364|-104.458142
CO|0840900|1600000US0840900|02583255|Kirk CDP|57|S|403048|0|0.156|0.|39.614493|-102.591419
CO|0841010|1600000US0841010|02412842|Kit Carson town|43|A|1530038|0|0.591|0.|38.762828|-102.795476
CO|0841065|1600000US0841065|02408491|Kittredge CDP|57|S|4879665|1177|1.884|0.|39.659375|-105.304886
CO|0841560|1600000US0841560|02412848|Kremmling town|43|A|3393001|0|1.31|0.|40.056542|-106.378216
CO|0841835|1600000US0841835|02411592|Lafayette city|25|A|23975696|531766|9.257|0.205|39.994814|-105.099676
CO|0842000|1600000US0842000|02583256|Laird CDP|57|S|389023|0|0.15|0.|40.081801|-102.101898
CO|0842055|1600000US0842055|02412855|La Jara town|43|A|1056259|0|0.408|0.|37.273524|-105.959721
CO|0842110|1600000US0842110|02411574|La Junta city|25|A|8277880|13153|3.196|0.005|37.979414|-103.547336
CO|0842165|1600000US0842165|02583257|La Junta Gardens CDP|57|S|1381412|0|0.533|0.|38.001349|-103.55485
CO|0842330|1600000US0842330|02412863|Lake City town|43|A|2153814|25016|0.832|0.01|38.021603|-107.310707
CO|0842495|1600000US0842495|02412865|Lakeside town|43|A|485965|157267|0.188|0.061|39.779075|-105.057825
CO|0843000|1600000US0843000|02411614|Lakewood city|25|A|112638657|3041638|43.49|1.174|39.698939|-105.117573
CO|0843110|1600000US0843110|02411617|Lamar city|25|A|13512633|52194|5.217|0.02|38.075971|-102.614723
CO|0843220|1600000US0843220|02408572|Laporte CDP|57|S|15841198|279243|6.116|0.108|40.637701|-105.143605
CO|0843550|1600000US0843550|02412878|Larkspur town|43|A|4118230|0|1.59|0.|39.229573|-104.885679
CO|0843605|1600000US0843605|02412856|La Salle town|43|A|2549234|0|0.984|0.|40.348669|-104.706108
CO|0843660|1600000US0843660|02411628|Las Animas city|25|A|4212127|118772|1.626|0.046|38.069668|-103.223229
CO|0844100|1600000US0844100|02412857|La Veta town|43|A|3539235|0|1.367|0.|37.508562|-105.008487
CO|0844265|1600000US0844265|02804451|Lazear CDP|57|S|4151998|0|1.603|0.|38.77879|-107.780402
CO|0844270|1600000US0844270|02583258|Lazy Acres CDP|57|S|13699592|3966|5.289|0.002|40.085551|-105.334372
CO|0844320|1600000US0844320|02411641|Leadville city|25|A|3039457|0|1.174|0.|39.247277|-106.29346
CO|0844375|1600000US0844375|02408593|Leadville North CDP|57|S|6342969|0|2.449|0.|39.260018|-106.31129
CO|0844595|1600000US0844595|02583259|Lewis CDP|57|S|8056413|0|3.111|0.|37.501715|-108.660059
CO|0844695|1600000US0844695|02583260|Leyner CDP|57|S|506251|105855|0.195|0.041|40.051102|-105.107438
CO|0844980|1600000US0844980|02412897|Limon town|43|A|8190315|78054|3.162|0.03|39.265074|-103.685911
CO|0845145|1600000US0845145|02408611|Lincoln Park CDP|57|S|9803592|1113|3.785|0.|38.425182|-105.213083
CO|0845255|1600000US0845255|02410845|Littleton city|25|A|32683312|2934787|12.619|1.133|39.590375|-105.020084
CO|0845530|1600000US0845530|02412905|Lochbuie town|43|A|9542874|59469|3.685|0.023|40.009141|-104.726505
CO|0845680|1600000US0845680|02408628|Loghill Village CDP|57|S|16092078|0|6.213|0.|38.19941|-107.775343
CO|0845695|1600000US0845695|02412910|Log Lane Village town|43|A|507572|0|0.196|0.|40.269734|-103.82896
CO|0845750|1600000US0845750|02629991|Loma CDP|57|S|28203016|0|10.889|0.|39.20751|-108.805025
CO|0845955|1600000US0845955|02410864|Lone Tree city|25|A|25406488|0|9.81|0.|39.530851|-104.870959
CO|0845970|1600000US0845970|02410869|Longmont city|25|A|75836110|5249752|29.28|2.027|40.168199|-105.100522
CO|0846355|1600000US0846355|02410884|Louisville city|25|A|20662541|269236|7.978|0.104|39.969576|-105.143271
CO|0846410|1600000US0846410|02408145|Louviers CDP|57|S|4093261|0|1.58|0.|39.479866|-105.00334
CO|0846465|1600000US0846465|02410886|Loveland city|25|A|93638498|3882961|36.154|1.499|40.416905|-105.063111
CO|0847015|1600000US0847015|02583261|Lynn CDP|57|S|1857020|0|0.717|0.|37.421909|-104.643061
CO|0847070|1600000US0847070|02412930|Lyons town|43|A|3532428|42460|1.364|0.016|40.22305|-105.268665
CO|0847235|1600000US0847235|02805909|McClave CDP|57|S|4956293|0|1.914|0.|38.131547|-102.850444
CO|0847345|1600000US0847345|02583263|McCoy CDP|57|S|761474|0|0.294|0.|39.914382|-106.725723
CO|0848060|1600000US0848060|02412937|Manassa town|43|A|2411755|0|0.931|0.|37.173841|-105.937275
CO|0848115|1600000US0848115|02412939|Mancos town|43|A|1651539|0|0.638|0.|37.346641|-108.293841
CO|0848445|1600000US0848445|02411021|Manitou Springs city|25|A|8155501|0|3.149|0.|38.857539|-104.912861
CO|0848500|1600000US0848500|02412949|Manzanola town|43|A|736389|0|0.284|0.|38.108758|-103.866804
CO|0848555|1600000US0848555|02412952|Marble town|43|A|931733|0|0.36|0.|39.071665|-107.190749
CO|0848940|1600000US0848940|02805923|Marvel CDP|57|S|344731|0|0.133|0.|37.111185|-108.126327
CO|0849215|1600000US0849215|02805919|Matheson CDP|57|S|4444175|0|1.716|0.|39.168316|-103.977018
CO|0849325|1600000US0849325|02583264|Maybell CDP|57|S|1358879|0|0.525|0.|40.518827|-108.088495
CO|0849490|1600000US0849490|02583265|Maysville CDP|57|S|32167283|34484|12.42|0.013|38.525998|-106.219426
CO|0849600|1600000US0849600|02412970|Mead town|43|A|40069059|248880|15.471|0.096|40.226999|-104.988323
CO|0849875|1600000US0849875|02412977|Meeker town|43|A|9295238|0|3.589|0.|40.049953|-107.894584
CO|0850012|1600000US0850012|02408817|Meridian CDP|57|S|6636507|0|2.562|0.|39.545684|-104.85332
CO|0850026|1600000US0850026|02805911|Meridian Village CDP|57|S|1321351|0|0.51|0.|39.528052|-104.825783
CO|0850040|1600000US0850040|02412985|Merino town|43|A|392679|0|0.152|0.|40.483705|-103.353675
CO|0850380|1600000US0850380|02583266|Midland CDP|57|S|4458222|46448|1.721|0.018|38.846344|-105.15212
CO|0850480|1600000US0850480|02413000|Milliken town|43|A|33786654|219501|13.045|0.085|40.310509|-104.858412
CO|0850920|1600000US0850920|02413005|Minturn town|43|A|19304788|428527|7.454|0.165|39.535574|-106.381575
CO|0851250|1600000US0851250|02413006|Moffat town|43|A|5496240|0|2.122|0.|38.005734|-105.910118
CO|0851635|1600000US0851635|02411143|Monte Vista city|25|A|6830389|46479|2.637|0.018|37.57854|-106.149915
CO|0851690|1600000US0851690|02413008|Montezuma town|43|A|204192|0|0.079|0.|39.581477|-105.86764
CO|0851745|1600000US0851745|02411151|Montrose city|25|A|49368108|0|19.061|0.|38.468783|-107.858959
CO|0851800|1600000US0851800|02413009|Monument town|43|A|18034075|128899|6.963|0.05|39.074406|-104.844221
CO|0851975|1600000US0851975|02583268|Morgan Heights CDP|57|S|739002|0|0.285|0.|40.287492|-103.827446
CO|0852075|1600000US0852075|02413014|Morrison town|43|A|4267801|8946|1.648|0.003|39.636357|-105.205959
